pci.bus_id, power.draw [W], utilization.gpu [%], memory.used [MiB]
00000000:15:00.0, 57.02, 0, 38823
00000000:51:00.0, 64.78, 0, 38823
00000000:54:00.0, 59.94, 0, 38823
00000000:8D:00.0, 58.34, 0, 38823
00000000:92:00.0, 61.62, 0, 38823
00000000:D6:00.0, 57.53, 0, 38823
00000000:DA:00.0, 61.82, 0, 38823
00000000:0F:00.0, 57.68, 0, 38823
00000000:15:00.0, 62.84, 0, 38823
00000000:51:00.0, 67.45, 0, 38823
00000000:54:00.0, 66.39, 0, 38823
00000000:8D:00.0, 63.91, 0, 38823
00000000:92:00.0, 68.33, 0, 38823
00000000:D6:00.0, 57.53, 0, 38823
00000000:DA:00.0, 60.35, 0, 38823
00000000:0F:00.0, 58.01, 0, 38823
00000000:15:00.0, 57.29, 0, 38823
00000000:51:00.0, 68.06, 0, 38823
00000000:54:00.0, 66.65, 0, 38823
00000000:8D:00.0, 64.23, 0, 38823
00000000:92:00.0, 68.60, 0, 38823
00000000:D6:00.0, 57.80, 0, 38823
00000000:DA:00.0, 74.42, 0, 38823
00000000:0F:00.0, 64.72, 0, 38823
00000000:15:00.0, 57.02, 0, 38823
00000000:51:00.0, 64.50, 0, 38823
00000000:54:00.0, 60.15, 0, 38823
00000000:8D:00.0, 58.34, 0, 38823
00000000:92:00.0, 61.56, 0, 38823
00000000:D6:00.0, 57.53, 0, 38823
00000000:DA:00.0, 61.82, 0, 38823
00000000:0F:00.0, 65.38, 0, 38823
00000000:15:00.0, 57.02, 0, 38823
00000000:51:00.0, 57.47, 0, 38823
00000000:54:00.0, 59.94, 0, 38823
00000000:8D:00.0, 58.34, 0, 38823
00000000:92:00.0, 59.60, 0, 38823
00000000:D6:00.0, 59.67, 0, 38823
00000000:DA:00.0, 60.02, 0, 38823
00000000:0F:00.0, 66.85, 0, 38823
00000000:15:00.0, 57.02, 0, 38823
00000000:51:00.0, 60.09, 0, 38823
00000000:54:00.0, 59.94, 0, 38823
00000000:8D:00.0, 58.34, 0, 38823
00000000:92:00.0, 59.88, 0, 38823
00000000:D6:00.0, 58.46, 0, 38823
00000000:DA:00.0, 61.82, 0, 38823
00000000:0F:00.0, 65.31, 0, 38823
00000000:15:00.0, 57.02, 0, 38823
00000000:51:00.0, 65.11, 0, 38823
00000000:54:00.0, 59.94, 0, 38823
00000000:8D:00.0, 58.40, 0, 38823
00000000:92:00.0, 59.60, 0, 38823
